측정일자,권역명,측정소명,미세먼지(㎍/㎥),초미세먼지(㎍/㎥),오존(ppm),이산화질소농도(ppm),일산화탄소농도(ppm),아황산가스농도(ppm)
20191118,도심권,용산구,64,10,0.023,0.017,0.4,0.002
20191118,도심권,종로구,71,12,0.021,0.015,0.4,0.003
20191118,도심권,중구,66,11,0.024,0.016,0.4,0.002
20191118,동남권,강남구,81,12,0.026,0.017,0.4,0.002
20191118,동남권,강동구,154,17,0.022,0.017,0.4,0.003
20191118,동남권,서초구,89,14,0.03,0.014,0.2,0.003
20191118,동남권,송파구,66,13,0.02,0.021,0.4,0.003
20191118,동북권,강북구,98,17,0.03,0.008,0.4,0.002
20191118,동북권,광진구,78,12,0.022,0.014,0.6,0.002
20191118,동북권,노원구,56,15,0.022,0.006,0.4,0.004
20191118,동북권,도봉구,77,10,0.029,0.01,0.4,0.002
20191118,동북권,동대문구,77,8,0.023,0.015,0.4,0.002
20191118,동북권,성동구,75,15,0.022,0.018,0.4,0.002
20191118,동북권,성북구,96,9,0.025,0.014,0.9,0.002
20191118,동북권,중랑구,79,10,0.02,0.017,0.4,0.002
20191118,서남권,강서구,90,15,0.026,0.013,0.3,0.004
20191118,서남권,관악구,76,8,0.023,0.016,0.4,0.003
20191118,서남권,구로구,90,16,0.03,0.013,0.3,0.003
20191118,서남권,금천구,66,15,0.021,0.015,0.3,0.003
20191118,서남권,동작구,86,16,0.023,0.014,0.3,0.003
20191118,서남권,양천구,90,14,0.024,0.016,0.4,0.004
20191118,서남권,영등포구,66,14,0.021,0.015,0.3,0.003
20191118,서북권,마포구,78,11,0.021,0.016,0.4,0.002
20191118,서북권,서대문구,76,10,0.024,0.013,0.7,0.003
20191118,서북권,은평구,124,15,0.027,0.014,0.8,0.004
20191119,도심권,용산구,23,7,0.018,0.021,0.3,0.003
20191119,도심권,종로구,28,9,0.019,0.014,0.4,0.003
20191119,도심권,중구,26,10,0.023,0.016,0.3,0.003
20191119,동남권,강남구,32,9,0.024,0.016,0.4,0.003
20191119,동남권,강동구,42,12,0.021,0.017,0.3,0.003
20191119,동남권,서초구,30,6,0.026,0.022,0.2,0.005
20191119,동남권,송파구,27,5,0.018,0.022,0.4,0.003
20191119,동북권,강북구,36,10,0.025,0.009,0.3,0.003
20191119,동북권,광진구,28,7,0.021,0.014,0.5,0.002
20191119,동북권,노원구,26,11,0.022,0.012,0.3,0.004
20191119,동북권,도봉구,21,6,0.027,0.011,0.4,0.002
20191119,동북권,동대문구,30,6,0.024,0.015,0.4,0.002
20191119,동북권,성동구,27,10,0.022,0.018,0.3,0.003
20191119,동북권,성북구,33,6,0.022,0.014,0.9,0.003
20191119,동북권,중랑구,30,6,0.032,0.017,0.4,0.003
20191119,서남권,강서구,36,11,0.021,0.018,0.3,0.004
20191119,서남권,관악구,33,8,0.018,0.02,0.3,0.003
