pclass,survived,name,sex,age,sibsp,parch,ticket,fare,cabin,embarked,boat,body,home.dest
1,no,"Reuchlin, Jonkheer. John George",male,38,0,0,19972,0,,S,,,"Rotterdam, Netherlands"
1,no,"Andrews, Mr. Thomas Jr",male,39,0,0,112050,0,A36,S,,,"Belfast, NI"
1,no,"Harrison, Mr. William",male,40,0,0,112059,0,B94,S,,110,
1,no,"Chisholm, Mr. Roderick Robert Crispin",male,29.88113,0,0,112051,0,,S,,,"Liverpool, England / Belfast"
1,no,"Fry, Mr. Richard",male,29.88113,0,0,112058,0,B102,S,,,
1,no,"Parr, Mr. William Henry Marsh",male,29.88113,0,0,112052,0,,S,,,Belfast
1,no,"Carlsson, Mr. Frans Olof",male,33,0,0,695,5,B51 B53 B55,S,,,"New York, NY"
1,no,"Colley, Mr. Edward Pomeroy",male,47,0,0,5727,25.5875,E58,S,,,"Victoria, BC"
1,no,"Baumann, Mr. John D",male,29.88113,0,0,PC 17318,25.925,,S,,,"New York, NY"
1,no,"Birnbaum, Mr. Jakob",male,25,0,0,13905,26,,C,,148,"San Francisco, CA"
1,no,"Maguire, Mr. John Edward",male,30,0,0,110469,26,C106,S,,,"Brockton, MA"
1,no,"Jones, Mr. Charles Cresson",male,46,0,0,694,26,,S,,80,"Bennington, VT"
1,no,"Case, Mr. Howard Brown",male,49,0,0,19924,26,,S,,,"Ascot, Berkshire / Rochester, NY"
1,no,"Julian, Mr. Henry Forbes",male,50,0,0,113044,26,E60,S,,,London
1,no,"Nicholson, Mr. Arthur Ernest",male,64,0,0,693,26,,S,,263,"Isle of Wight, England"
1,no,"Smith, Mr. Richard William",male,29.88113,0,0,113056,26,A19,S,,,"Streatham, Surrey"
1,no,"Rowe, Mr. Alfred G",male,33,0,0,113790,26.55,,S,,109,London
1,no,"Borebank, Mr. John James",male,42,0,0,110489,26.55,D22,S,,,"London / Winnipeg, MB"
1,no,"Lindeberg-Lind, Mr. Erik Gustaf (""Mr Edward Lingrey"")",male,42,0,0,17475,26.55,,S,,,"Stockholm, Sweden"
1,no,"Butt, Major. Archibald Willingham",male,45,0,0,113050,26.55,B38,S,,,"Washington, DC"
1,no,"Smart, Mr. John Montgomery",male,56,0,0,113792,26.55,,S,,,"New York, NY"
1,no,"Weir, Col. John",male,60,0,0,113800,26.55,,S,,,"England Salt Lake City, Utah"
1,no,"Stead, Mr. William Thomas",male,62,0,0,113514,26.55,C87,S,,,"Wimbledon Park, London / Hayling Island, Hants"
1,no,"Wright, Mr. George",male,62,0,0,113807,26.55,,S,,,"Halifax, NS"
1,no,"Millet, Mr. Francis Davis",male,65,0,0,13509,26.55,E38,S,,249,"East Bridgewater, MA"
1,no,"Crafton, Mr. John Bertram",male,29.88113,0,0,113791,26.55,,S,,,"Roachdale, IN"
1,no,"Franklin, Mr. Thomas Parham",male,29.88113,0,0,113778,26.55,D34,S,,,"Westcliff-on-Sea, Essex"
1,no,"Klaber, Mr. Herman",male,29.88113,0,0,113028,26.55,C124,S,,,"Portland, OR"
1,no,"Ovies y Rodriguez, Mr. Servando",male,28.5,0,0,PC 17562,27.7208,D43,C,,189,"?Havana, Cuba"
1,no,"Uruchurtu, Don. Manuel E",male,40,0,0,PC 17601,27.7208,,C,,,"Mexico City, Mexico"
1,no,"Lewy, Mr. Ervin G",male,29.88113,0,0,PC 17612,27.7208,,C,,,"Chicago, IL"
1,no,"Stewart, Mr. Albert A",male,29.88113,0,0,PC 17605,27.7208,,C,,,"Gallipolis, Ohio / ? Paris / New York"
1,no,"Foreman, Mr. Benjamin Laventall",male,30,0,0,113051,27.75,C111,C,,,"New York, NY"
1,no,"Partner, Mr. Austen",male,45.5,0,0,113043,28.5,C124,S,,166,"Surbiton Hill, Surrey"
1,no,"Isham, Miss. Ann Elizabeth",female,50,0,0,PC 17595,28.7125,C49,C,,,"Paris, France New York, NY"
1,no,"Natsch, Mr. Charles H",male,37,0,1,PC 17596,29.7,C118,C,,,"Brooklyn, NY"
1,no,"Dulles, Mr. William Crothers",male,39,0,0,PC 17580,29.7,A18,C,,133,"Philadelphia, PA"
1,no,"Kent, Mr. Edward Austin",male,58,0,0,11771,29.7,B37,C,,258,"Buffalo, NY"
1,no,"Long, Mr. Milton Clyde",male,29,0,0,113501,30,D6,S,,126,"Springfield, MA"
1,no,"Brady, Mr. John Bertram",male,41,0,0,113054,30.5,A21,S,,,"Pomeroy, WA"
1,no,"Molson, Mr. Harry Markland",male,55,0,0,113787,30.5,C30,S,,,"Montreal, PQ"
1,no,"Smith, Mr. James Clinch",male,56,0,0,17764,30.6958,A7,C,,,"St James, Long Island, NY"
1,no,"Hoyt, Mr. William Fisher",male,29.88113,0,0,PC 17600,30.6958,,C,14,,"New York, NY"
1,no,"Cairns, Mr. Alexander",male,29.88113,0,0,113798,31,,S,,,
1,no,"Evans, Miss. Edith Corse",female,36,0,0,PC 17531,31.6792,A29,C,,,"New York, NY"
1,no,"Sutton, Mr. Frederick",male,61,0,0,36963,32.3208,D50,S,,46,"Haddenfield, NJ"
1,no,"Van der hoef, Mr. Wyckoff",male,61,0,0,111240,33.5,B19,S,,245,"Brooklyn, NY"
1,no,"Walker, Mr. William Anderson",male,47,0,0,36967,34.0208,D46,S,,,"East Orange, NJ"
1,no,"Goldschmidt, Mr. George B",male,71,0,0,PC 17754,34.6542,A5,C,,,"New York, NY"
1,no,"Williams-Lambert, Mr. Fletcher Fellows",male,29.88113,0,0,113510,35,C128,S,,,"London, England"
1,no,"Blackwell, Mr. Stephen Weart",male,45,0,0,113784,35.5,T,S,,,"Trenton, NJ"
1,no,"Gee, Mr. Arthur H",male,47,0,0,111320,38.5,E63,S,,275,"St Anne's-on-Sea, Lancashire"
1,no,"Brewe, Dr. Arthur Jackson",male,29.88113,0,0,112379,39.6,,C,,,"Philadelphia, PA"
1,no,"Ross, Mr. John Hugo",male,36,0,0,13049,40.125,A10,C,,,"Winnipeg, MB"
1,no,"Moore, Mr. Clarence Bloomfield",male,47,0,0,113796,42.4,,S,,,"Washington, DC"
1,no,"Harrington, Mr. Charles H",male,29.88113,0,0,113796,42.4,,S,,,
1,no,"Head, Mr. Christopher",male,42,0,0,113038,42.5,B11,S,,,London / Middlesex
1,no,"Loring, Mr. Joseph Holland",male,30,0,0,113801,45.5,,S,,,"London / New York, NY"
1,no,"Carrau, Mr. Jose Pedro",male,17,0,0,113059,47.1,,S,,,"Montevideo, Uruguay"
1,no,"Carrau, Mr. Francisco M",male,28,0,0,113059,47.1,,S,,,"Montevideo, Uruguay"
